INSPECTION_YEAR,NTA,NUMBER_OF_INSPECTIONS,BOROUGH
2020,Allerton,172,Bronx
2020,Annadale-Huguenot-Prince's Bay-Woodrow,55,Staten Island
2020,Arden Heights-Rossville,54,Staten Island
2020,Astoria (Central),105,Queens
2020,Astoria (East)-Woodside (North),322,Queens
2020,Astoria (North)-Ditmars-Steinway,131,Queens
2020,Auburndale,21,Queens
2020,Baisley Park,100,Queens
2020,Barren Island-Floyd Bennett Field,1,Brooklyn
2020,Bath Beach,31,Brooklyn
2020,Bay Ridge,205,Brooklyn
2020,Bay Terrace-Clearview,2,Queens
2020,Bayside,30,Queens
2020,Bedford Park,286,Bronx
2020,Bedford-Stuyvesant (East),4727,Brooklyn
2020,Bedford-Stuyvesant (West),7540,Brooklyn
2020,Bellerose,5,Queens
2020,Belmont,1904,Bronx
2020,Bensonhurst,43,Brooklyn
2020,Borough Park,64,Brooklyn
2020,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,18,Queens
2020,Brighton Beach,91,Brooklyn
2020,Bronx Park,6,Bronx
2020,Brooklyn Heights,35,Brooklyn
2020,Brownsville,74,Brooklyn
2020,Bushwick (East),2792,Brooklyn
2020,Bushwick (West),5161,Brooklyn
2020,Cambria Heights,23,Queens
2020,Canarsie,93,Brooklyn
2020,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,187,Brooklyn
2020,Castle Hill-Unionport,112,Bronx
2020,Central Park,3,Manhattan
2020,Chelsea-Hudson Yards,492,Manhattan
2020,Chinatown-Two Bridges,1227,Manhattan
2020,Claremont Village-Claremont (East),209,Bronx
2020,Clinton Hill,506,Brooklyn
2020,Co-op City,3,Bronx
2020,College Point,19,Queens
2020,Concourse-Concourse Village,1872,Bronx
2020,Coney Island-Sea Gate,223,Brooklyn
2020,Corona,122,Queens
2020,Crotona Park East,272,Bronx
2020,Crown Heights (North),2594,Brooklyn
2020,Crown Heights (South),443,Brooklyn
2020,Cypress Hills,76,Brooklyn
2020,Douglaston-Little Neck,6,Queens
2020,Downtown Brooklyn-DUMBO-Boerum Hill,104,Brooklyn
2020,Dyker Heights,24,Brooklyn
2020,East Elmhurst,39,Queens
2020,East Flatbush-Erasmus,137,Brooklyn
2020,East Flatbush-Farragut,161,Brooklyn
2020,East Flatbush-Remsen Village,69,Brooklyn
2020,East Flatbush-Rugby,214,Brooklyn
2020,East Flushing,13,Queens
2020,East Harlem (North),696,Manhattan
2020,East Harlem (South),495,Manhattan
2020,East Midtown-Turtle Bay,578,Manhattan
2020,East New York (North),202,Brooklyn
2020,East New York-City Line,92,Brooklyn
2020,East New York-New Lots,98,Brooklyn
2020,East Village,3025,Manhattan
2020,East Williamsburg,288,Brooklyn
2020,Eastchester-Edenwald-Baychester,127,Bronx
2020,Elmhurst,198,Queens
2020,Far Rockaway-Bayswater,67,Queens
2020,Financial District-Battery Park City,91,Manhattan
2020,Flatbush,239,Brooklyn
2020,Flatbush (West)-Ditmas Park-Parkville,51,Brooklyn
2020,Flatlands,76,Brooklyn
2020,Flushing-Willets Point,62,Queens
2020,Fordham Heights,999,Bronx
2020,Forest Hills,34,Queens
2020,Fort Greene,151,Brooklyn
2020,Fresh Meadows-Utopia,6,Queens
2020,Glen Oaks-Floral Park-New Hyde Park,14,Queens
2020,Glendale,37,Queens
2020,Gramercy,179,Manhattan
2020,Grasmere-Arrochar-South Beach-Dongan Hills,93,Staten Island
2020,Gravesend (East)-Homecrest,43,Brooklyn
2020,Gravesend (South),53,Brooklyn
2020,Gravesend (West),58,Brooklyn
2020,Great Kills-Eltingville,86,Staten Island
2020,Greenpoint,60,Brooklyn
2020,Greenwich Village,109,Manhattan
2020,Hamilton Heights-Sugar Hill,517,Manhattan
2020,Harlem (North),801,Manhattan
2020,Harlem (South),884,Manhattan
2020,Hell's Kitchen,222,Manhattan
2020,Highbridge,1013,Bronx
2020,Hollis,23,Queens
2020,Howard Beach-Lindenwood,28,Queens
2020,Hunts Point,165,Bronx
2020,Hutchinson Metro Center,1,Bronx
2020,Inwood,200,Manhattan
2020,Inwood Hill Park,1,Manhattan
2020,Jackson Heights,196,Queens
2020,Jacob Riis Park-Fort Tilden-Breezy Point Tip,1,Queens
2020,Jamaica,94,Queens
2020,Jamaica Estates-Holliswood,20,Queens
2020,Jamaica Hills-Briarwood,35,Queens
2020,Kensington,96,Brooklyn
2020,Kew Gardens,13,Queens
2020,Kew Gardens Hills,22,Queens
2020,Kingsbridge Heights-Van Cortlandt Village,159,Bronx
2020,Kingsbridge-Marble Hill,39,Bronx
2020,Laurelton,20,Queens
2020,Long Island City-Hunters Point,31,Queens
2020,Longwood,273,Bronx
2020,Lower East Side,1158,Manhattan
2020,Madison,48,Brooklyn
2020,Manhattanville-West Harlem,243,Manhattan
2020,Mapleton-Midwood (West),135,Brooklyn
2020,Marine Park-Mill Basin-Bergen Beach,55,Brooklyn
2020,Marine Park-Plumb Island,1,Brooklyn
2020,Mariner's Harbor-Arlington-Graniteville,58,Staten Island
2020,Maspeth,76,Queens
2020,Melrose,157,Bronx
2020,Middle Village,56,Queens
2020,Midtown South-Flatiron-Union Square,90,Manhattan
2020,Midtown-Times Square,141,Manhattan
2020,Midwood,22,Brooklyn
2020,Morningside Heights,233,Manhattan
2020,Morris Park,42,Bronx
2020,Morrisania,126,Bronx
2020,Mott Haven-Port Morris,783,Bronx
2020,Mount Eden-Claremont (West),1376,Bronx
2020,Mount Hope,1582,Bronx
2020,Murray Hill-Broadway Flushing,27,Queens
2020,Murray Hill-Kips Bay,851,Manhattan
2020,New Dorp-Midland Beach,92,Staten Island
2020,New Springville-Willowbrook-Bulls Head-Travis,49,Staten Island
2020,North Corona,42,Queens
2020,Norwood,756,Bronx
2020,Oakland Gardens-Hollis Hills,5,Queens
2020,Oakwood-Richmondtown,43,Staten Island
2020,Ocean Hill,650,Brooklyn
2020,Old Astoria-Hallets Point,33,Queens
2020,Ozone Park,35,Queens
2020,Ozone Park (North),13,Queens
2020,Park Slope,212,Brooklyn
2020,Parkchester,30,Bronx
2020,Pelham Bay-Country Club-City Island,83,Bronx
2020,Pelham Gardens,53,Bronx
2020,Pelham Parkway-Van Nest,159,Bronx
2020,Pomonok-Electchester-Hillcrest,20,Queens
2020,Port Richmond,387,Staten Island
2020,Prospect Heights,383,Brooklyn
2020,Prospect Lefferts Gardens-Wingate,86,Brooklyn
2020,Prospect Park,1,Brooklyn
2020,Queens Village,47,Queens
2020,Queensboro Hill,24,Queens
2020,Queensbridge-Ravenswood-Dutch Kills,137,Queens
2020,Randall's Island,1,Manhattan
2020,Rego Park,37,Queens
2020,Richmond Hill,17,Queens
2020,Ridgewood,803,Queens
2020,Rikers Island,1,Bronx
2020,Riverdale-Spuyten Duyvil,57,Bronx
2020,Rockaway Beach-Arverne-Edgemere,26,Queens
2020,Rosebank-Shore Acres-Park Hill,27,Staten Island
2020,Rosedale,9,Queens
2020,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,54,Brooklyn
2020,SoHo-Little Italy-Hudson Square,326,Manhattan
2020,Soundview-Bruckner-Bronx River,490,Bronx
2020,Soundview-Clason Point,71,Bronx
2020,South Jamaica,107,Queens
2020,South Ozone Park,103,Queens
2020,South Richmond Hill,19,Queens
2020,South Williamsburg,21,Brooklyn
2020,Spring Creek-Starrett City,11,Brooklyn
2020,Springfield Gardens (North)-Rochdale Village,28,Queens
2020,Springfield Gardens (South)-Brookville,23,Queens
2020,St. Albans,87,Queens
2020,St. George-New Brighton,122,Staten Island
2020,Stuyvesant Town-Peter Cooper Village,5,Manhattan
2020,Sunnyside,107,Queens
2020,Sunnyside Yards (South),1,Queens
2020,Sunset Park (Central),86,Brooklyn
2020,Sunset Park (East)-Borough Park (West),39,Brooklyn
2020,Sunset Park (West),98,Brooklyn
2020,Throgs Neck-Schuylerville,73,Bronx
2020,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,34,Staten Island
2020,Tompkinsville-Stapleton-Clifton-Fox Hills,63,Staten Island
2020,Tottenville-Charleston,23,Staten Island
2020,Tremont,1214,Bronx
2020,Tribeca-Civic Center,201,Manhattan
2020,United Nations,1,Manhattan
2020,University Heights (North)-Fordham,811,Bronx
2020,University Heights (South)-Morris Heights,749,Bronx
2020,Upper East Side-Carnegie Hill,262,Manhattan
2020,Upper East Side-Lenox Hill-Roosevelt Island,489,Manhattan
2020,Upper East Side-Yorkville,640,Manhattan
2020,Upper West Side (Central),1976,Manhattan
2020,Upper West Side-Lincoln Square,180,Manhattan
2020,Upper West Side-Manhattan Valley,673,Manhattan
2020,Van Cortlandt Park,2,Bronx
2020,Wakefield-Woodlawn,151,Bronx
2020,Washington Heights (North),225,Manhattan
2020,Washington Heights (South),367,Manhattan
2020,West Farms,90,Bronx
2020,West New Brighton-Silver Lake-Grymes Hill,317,Staten Island
2020,West Village,820,Manhattan
2020,Westchester Square,35,Bronx
2020,Westerleigh-Castleton Corners,62,Staten Island
2020,Whitestone-Beechhurst,23,Queens
2020,Williamsbridge-Olinville,262,Bronx
2020,Williamsburg,194,Brooklyn
2020,Windsor Terrace-South Slope,19,Brooklyn
2020,Woodhaven,14,Queens
2020,Woodlawn Cemetery,1,Bronx
2020,Woodside,108,Queens
2020,Yankee Stadium-Macombs Dam Park,5,Bronx
2020,Freshkills Park (South),0,Staten Island
2020,Pelham Bay Park,0,Bronx
2020,Soundview Park,0,Bronx
2020,St. Michael's Cemetery,1,Queens
2020,Sunnyside Yards (North),0,Queens
2020,Astoria Park,0,Queens
2020,Brooklyn Navy Yard,0,Brooklyn
2020,Dyker Beach Park,0,Brooklyn
2020,Highland Park-Cypress Hills Cemeteries (South),0,Brooklyn
2020,Lincoln Terrace Park,0,Brooklyn
2020,Flushing Meadows-Corona Park,0,Queens
2020,Holy Cross Cemetery,0,Brooklyn
2020,Mount Olivet & All Faiths Cemeteries,0,Queens
2020,Calvary & Mount Zion Cemeteries,0,Queens
2020,Fort Hamilton,0,Brooklyn
2020,Highbridge Park,0,Manhattan
2020,The Evergreens Cemetery,0,Brooklyn
2020,Rockaway Community Park,0,Queens
2020,St. John Cemetery,0,Queens
2020,Alley Pond Park,0,Queens
2020,Green-Wood Cemetery,0,Brooklyn
2021,Allerton,163,Bronx
2021,Annadale-Huguenot-Prince's Bay-Woodrow,76,Staten Island
2021,Arden Heights-Rossville,92,Staten Island
2021,Astoria (Central),194,Queens
2021,Astoria (East)-Woodside (North),80,Queens
2021,Astoria (North)-Ditmars-Steinway,233,Queens
2021,Auburndale,42,Queens
2021,Baisley Park,151,Queens
2021,Barren Island-Floyd Bennett Field,0,Brooklyn
2021,Bath Beach,34,Brooklyn
2021,Bay Ridge,307,Brooklyn
2021,Bay Terrace-Clearview,2,Queens
2021,Bayside,16,Queens
2021,Bedford Park,1133,Bronx
2021,Bedford-Stuyvesant (East),4639,Brooklyn
2021,Bedford-Stuyvesant (West),10258,Brooklyn
2021,Bellerose,22,Queens
2021,Belmont,2200,Bronx
2021,Bensonhurst,67,Brooklyn
2021,Borough Park,63,Brooklyn
2021,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,23,Queens
2021,Brighton Beach,283,Brooklyn
2021,Bronx Park,7,Bronx
2021,Brooklyn Heights,194,Brooklyn
2021,Brownsville,91,Brooklyn
2021,Bushwick (East),2354,Brooklyn
2021,Bushwick (West),7262,Brooklyn
2021,Cambria Heights,33,Queens
2021,Canarsie,78,Brooklyn
2021,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,334,Brooklyn
2021,Castle Hill-Unionport,191,Bronx
2021,Central Park,4,Manhattan
2021,Chelsea-Hudson Yards,1049,Manhattan
2021,Chinatown-Two Bridges,1720,Manhattan
2021,Claremont Village-Claremont (East),347,Bronx
2021,Clinton Hill,402,Brooklyn
2021,Co-op City,16,Bronx
2021,College Point,29,Queens
2021,Concourse-Concourse Village,2957,Bronx
2021,Coney Island-Sea Gate,82,Brooklyn
2021,Corona,223,Queens
2021,Crotona Park East,241,Bronx
2021,Crown Heights (North),4003,Brooklyn
2021,Crown Heights (South),230,Brooklyn
2021,Cypress Hills,98,Brooklyn
2021,Douglaston-Little Neck,11,Queens
2021,Downtown Brooklyn-DUMBO-Boerum Hill,427,Brooklyn
2021,Dyker Heights,59,Brooklyn
2021,East Elmhurst,98,Queens
2021,East Flatbush-Erasmus,243,Brooklyn
2021,East Flatbush-Farragut,80,Brooklyn
2021,East Flatbush-Remsen Village,51,Brooklyn
2021,East Flatbush-Rugby,68,Brooklyn
2021,East Flushing,55,Queens
2021,East Harlem (North),785,Manhattan
2021,East Harlem (South),913,Manhattan
2021,East Midtown-Turtle Bay,106,Manhattan
2021,East New York (North),132,Brooklyn
2021,East New York-City Line,62,Brooklyn
2021,East New York-New Lots,93,Brooklyn
2021,East Village,4449,Manhattan
2021,East Williamsburg,621,Brooklyn
2021,Eastchester-Edenwald-Baychester,256,Bronx
2021,Elmhurst,333,Queens
2021,Far Rockaway-Bayswater,106,Queens
2021,Financial District-Battery Park City,314,Manhattan
2021,Flatbush,264,Brooklyn
2021,Flatbush (West)-Ditmas Park-Parkville,93,Brooklyn
2021,Flatlands,85,Brooklyn
2021,Flushing-Willets Point,136,Queens
2021,Fordham Heights,1202,Bronx
2021,Forest Hills,128,Queens
2021,Fort Greene,274,Brooklyn
2021,Fresh Meadows-Utopia,26,Queens
2021,Glen Oaks-Floral Park-New Hyde Park,24,Queens
2021,Glendale,69,Queens
2021,Gramercy,214,Manhattan
2021,Grasmere-Arrochar-South Beach-Dongan Hills,144,Staten Island
2021,Gravesend (East)-Homecrest,73,Brooklyn
2021,Gravesend (South),25,Brooklyn
2021,Gravesend (West),52,Brooklyn
2021,Great Kills-Eltingville,176,Staten Island
2021,Greenpoint,407,Brooklyn
2021,Greenwich Village,197,Manhattan
2021,Hamilton Heights-Sugar Hill,980,Manhattan
2021,Harlem (North),1967,Manhattan
2021,Harlem (South),1478,Manhattan
2021,Hell's Kitchen,1352,Manhattan
2021,Highbridge,1378,Bronx
2021,Hollis,31,Queens
2021,Howard Beach-Lindenwood,45,Queens
2021,Hunts Point,755,Bronx
2021,Hutchinson Metro Center,1,Bronx
2021,Inwood,947,Manhattan
2021,Inwood Hill Park,2,Manhattan
2021,Jackson Heights,482,Queens
2021,Jacob Riis Park-Fort Tilden-Breezy Point Tip,3,Queens
2021,Jamaica,206,Queens
2021,Jamaica Estates-Holliswood,27,Queens
2021,Jamaica Hills-Briarwood,128,Queens
2021,Kensington,97,Brooklyn
2021,Kew Gardens,29,Queens
2021,Kew Gardens Hills,49,Queens
2021,Kingsbridge Heights-Van Cortlandt Village,866,Bronx
2021,Kingsbridge-Marble Hill,135,Bronx
2021,Laurelton,43,Queens
2021,Long Island City-Hunters Point,61,Queens
2021,Longwood,512,Bronx
2021,Lower East Side,1563,Manhattan
2021,Madison,36,Brooklyn
2021,Manhattanville-West Harlem,303,Manhattan
2021,Mapleton-Midwood (West),40,Brooklyn
2021,Marine Park-Mill Basin-Bergen Beach,35,Brooklyn
2021,Marine Park-Plumb Island,0,Brooklyn
2021,Mariner's Harbor-Arlington-Graniteville,191,Staten Island
2021,Maspeth,106,Queens
2021,Melrose,397,Bronx
2021,Middle Village,132,Queens
2021,Midtown South-Flatiron-Union Square,129,Manhattan
2021,Midtown-Times Square,100,Manhattan
2021,Midwood,34,Brooklyn
2021,Morningside Heights,339,Manhattan
2021,Morris Park,91,Bronx
2021,Morrisania,456,Bronx
2021,Mott Haven-Port Morris,444,Bronx
2021,Mount Eden-Claremont (West),1616,Bronx
2021,Mount Hope,2087,Bronx
2021,Murray Hill-Broadway Flushing,64,Queens
2021,Murray Hill-Kips Bay,220,Manhattan
2021,New Dorp-Midland Beach,130,Staten Island
2021,New Springville-Willowbrook-Bulls Head-Travis,118,Staten Island
2021,North Corona,118,Queens
2021,Norwood,877,Bronx
2021,Oakland Gardens-Hollis Hills,4,Queens
2021,Oakwood-Richmondtown,99,Staten Island
2021,Ocean Hill,303,Brooklyn
2021,Old Astoria-Hallets Point,60,Queens
2021,Ozone Park,87,Queens
2021,Ozone Park (North),47,Queens
2021,Park Slope,709,Brooklyn
2021,Parkchester,50,Bronx
2021,Pelham Bay-Country Club-City Island,138,Bronx
2021,Pelham Gardens,100,Bronx
2021,Pelham Parkway-Van Nest,437,Bronx
2021,Pomonok-Electchester-Hillcrest,39,Queens
2021,Port Richmond,226,Staten Island
2021,Prospect Heights,583,Brooklyn
2021,Prospect Lefferts Gardens-Wingate,141,Brooklyn
2021,Prospect Park,0,Brooklyn
2021,Queens Village,99,Queens
2021,Queensboro Hill,54,Queens
2021,Queensbridge-Ravenswood-Dutch Kills,130,Queens
2021,Randall's Island,1,Manhattan
2021,Rego Park,98,Queens
2021,Richmond Hill,69,Queens
2021,Ridgewood,1037,Queens
2021,Rikers Island,0,Bronx
2021,Riverdale-Spuyten Duyvil,126,Bronx
2021,Rockaway Beach-Arverne-Edgemere,41,Queens
2021,Rosebank-Shore Acres-Park Hill,88,Staten Island
2021,Rosedale,17,Queens
2021,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,138,Brooklyn
2021,SoHo-Little Italy-Hudson Square,1074,Manhattan
2021,Soundview-Bruckner-Bronx River,698,Bronx
2021,Soundview-Clason Point,114,Bronx
2021,South Jamaica,139,Queens
2021,South Ozone Park,151,Queens
2021,South Richmond Hill,51,Queens
2021,South Williamsburg,126,Brooklyn
2021,Spring Creek-Starrett City,2,Brooklyn
2021,Springfield Gardens (North)-Rochdale Village,29,Queens
2021,Springfield Gardens (South)-Brookville,41,Queens
2021,St. Albans,135,Queens
2021,St. George-New Brighton,298,Staten Island
2021,Stuyvesant Town-Peter Cooper Village,9,Manhattan
2021,Sunnyside,243,Queens
2021,Sunnyside Yards (South),0,Queens
2021,Sunset Park (Central),211,Brooklyn
2021,Sunset Park (East)-Borough Park (West),41,Brooklyn
2021,Sunset Park (West),415,Brooklyn
2021,Throgs Neck-Schuylerville,107,Bronx
2021,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,65,Staten Island
2021,Tompkinsville-Stapleton-Clifton-Fox Hills,115,Staten Island
2021,Tottenville-Charleston,38,Staten Island
2021,Tremont,1437,Bronx
2021,Tribeca-Civic Center,262,Manhattan
2021,United Nations,0,Manhattan
2021,University Heights (North)-Fordham,1296,Bronx
2021,University Heights (South)-Morris Heights,926,Bronx
2021,Upper East Side-Carnegie Hill,591,Manhattan
2021,Upper East Side-Lenox Hill-Roosevelt Island,524,Manhattan
2021,Upper East Side-Yorkville,1382,Manhattan
2021,Upper West Side (Central),1860,Manhattan
2021,Upper West Side-Lincoln Square,246,Manhattan
2021,Upper West Side-Manhattan Valley,1352,Manhattan
2021,Van Cortlandt Park,4,Bronx
2021,Wakefield-Woodlawn,277,Bronx
2021,Washington Heights (North),906,Manhattan
2021,Washington Heights (South),920,Manhattan
2021,West Farms,125,Bronx
2021,West New Brighton-Silver Lake-Grymes Hill,415,Staten Island
2021,West Village,2322,Manhattan
2021,Westchester Square,48,Bronx
2021,Westerleigh-Castleton Corners,136,Staten Island
2021,Whitestone-Beechhurst,52,Queens
2021,Williamsbridge-Olinville,415,Bronx
2021,Williamsburg,632,Brooklyn
2021,Windsor Terrace-South Slope,172,Brooklyn
2021,Woodhaven,40,Queens
2021,Woodlawn Cemetery,0,Bronx
2021,Woodside,257,Queens
2021,Yankee Stadium-Macombs Dam Park,12,Bronx
2021,Freshkills Park (South),2,Staten Island
2021,Pelham Bay Park,1,Bronx
2021,Soundview Park,1,Bronx
2021,St. Michael's Cemetery,0,Queens
2021,Sunnyside Yards (North),1,Queens
2021,Astoria Park,0,Queens
2021,Brooklyn Navy Yard,1,Brooklyn
2021,Dyker Beach Park,0,Brooklyn
2021,Highland Park-Cypress Hills Cemeteries (South),1,Brooklyn
2021,Lincoln Terrace Park,0,Brooklyn
2021,Flushing Meadows-Corona Park,0,Queens
2021,Holy Cross Cemetery,0,Brooklyn
2021,Mount Olivet & All Faiths Cemeteries,0,Queens
2021,Calvary & Mount Zion Cemeteries,0,Queens
2021,Fort Hamilton,0,Brooklyn
2021,Highbridge Park,0,Manhattan
